rank,Status_name,Youtuber,subscribers,video_views,category,uploads,Country,Abbreviation,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_day,Created_month_number,Created_date
336,ok,Eva Bravo Play,21600000,9346383505,Entertainment,228,United States,US,507,96,90,63919000,16000,255700,191800,3100000,,2019,May,7,5,5/7/2019
337,ok,Tekashi 6ix9ine,21500000,5890180734,People & Blogs,51,United States,US,1081,96,88,113542000,28400,454200,340600,5400000,200000,2018,Apr,6,4,4/6/2018
338,ok,Tlnovelas,21500000,15013096899,News & Politics,158,Mexico,MX,1936958,2063,2940,15459,4,62,46,742,,2014,Jan,2,1,1/2/2014
339,ok,SMOL,21500000,22065582014,People & Blogs,6,,,4057657,,5782,3,0,0.01,0.01,0.14,,2006,Apr,2,4,4/2/2006
340,ok,invictor,21500000,8409641722,Gaming,17,Chile,CL,4038708,2889,7518,49,0.01,0.2,0.15,2,4,2016,Jul,26,7,7/26/2016
341,ok,YOLO,21400000,1573058816,Comedy,0,Germany,DE,4057944,3810,,,0,0,0,0,5,2013,Jun,11,6,6/11/2013
342,ok,Sidhu Moose Wala,21400000,6264261757,Music,114,India,IN,987,67,89,160690000,40200,642800,482100,7700000,500000,2017,Oct,30,10,10/30/2017
343,ok,The Royalty Family,21300000,6269945014,People & Blogs,733,United States,US,982,98,15,160227000,40100,640900,480700,7700000,200000,2017,Apr,13,4,4/13/2017
344,ok,Becky G,21300000,10644857969,Music,78,United States,US,396,98,90,103171000,25800,412700,309500,5000000,100000,2011,Sep,6,9,9/6/2011
345,ok,Ishaan Ali 11,21300000,12761253839,People & Blogs,951,India,IN,301,68,16,729409000,182400,2900000,2200000,35000000,1600000,2016,Jul,27,7,7/27/2016
346,ok,Infinite,21300000,5141834668,Entertainment,1608,United States,US,1296,98,93,68350000,17100,273400,205100,3300000,200000,2014,Aug,21,8,8/21/2014
347,ok,Azhan5star,21300000,10047736580,Entertainment,669,India,IN,436,67,92,236293000,59100,945200,708900,11300000,600000,2021,Feb,2,2,2/2/2021
348,ok,Dangal TV Channel,21300000,12895427184,Entertainment,20225,India,IN,291,67,92,561020000,140300,2200000,1700000,26900000,700000,2017,Aug,2,8,8/2/2017
349,ok,Khan GS Research Centre,21200000,2073073070,Education,1,,,4057930,,7727,,0,0,0,0,,2017,Jan,5,1,1/5/2017
350,ok,GMA Public  Affairs,21200000,11364908616,Entertainment,31989,Philippines,PH,359,4,7,142317000,35600,569300,427000,6800000,200000,2009,Aug,8,8,8/8/2009
351,ok,Tasty,21100000,5783557209,Howto & Style,4728,United States,US,1113,99,10,24691000,6200,98800,74100,1200000,,2016,Jan,22,1,1/22/2016
352,ok,Baim Paula,21100000,4526271677,People & Blogs,2325,Indonesia,ID,1583,8,94,26974000,6700,107900,80900,1300000,100000,2016,Jun,4,6,6/4/2016
353,ok,nigahiga,21000000,4380564906,Entertainment,403,United States,US,1671,100,95,2476000,619,9900,7400,118900,,2006,Jul,21,7,7/21/2006
354,ok,Rafa & Luiz,21000000,7762905663,Entertainment,2883,Brazil,BR,695,16,94,118410000,29600,473600,355200,5700000,400000,2015,Aug,26,8,8/26/2015
355,ok,Lyrical Lemonade,21000000,10631638628,Entertainment,420,United States,US,398,100,95,80062000,20000,320200,240200,3800000,100000,2013,Mar,25,3,3/25/2013
356,ok,Vlad and Niki IDN,21000000,9789121606,,498,United States,US,464,100,95,133362000,33300,533400,400100,6400000,300000,2018,Nov,9,11,11/9/2018
357,ok,Dr. Vivek Bindra: Motivational Speaker,20900000,1693149479,Education,896,India,IN,6082,69,20,28588000,7100,114400,85800,1400000,100000,2013,Dec,6,12,12/6/2013
358,ok,Fatos Desconhecidos,20900000,3828000587,Entertainment,6262,Brazil,BR,2033,17,96,52330000,13100,209300,157000,2500000,100000,2013,Sep,26,9,9/26/2013
359,ok,Brave Wilderness,20900000,4927879069,Pets & Animals,982,United States,US,1396,100,2,2989000,0,0,0,0,100000,2014,Sep,8,9,9/8/2014
360,ok,LIV Crime,20900000,11058049885,People & Blogs,9850,United States,US,372,100,17,383700000,95900,1500000,1200000,18400000,600000,2020,Aug,18,8,8/18/2020
361,ok,Minecraft - Topic,20900000,0,,0,,,4057944,,24,,0,0,0,0,300000,2013,Dec,20,12,12/20/2013
362,ok,Romeo Santos,20900000,17324976752,Music,6,United States,US,2595710,5417,4067,99,0.02,0.4,0.3,5,,2006,Jul,31,7,7/31/2006
363,ok,Canal Canalha,20800000,1870608170,Comedy,288,Brazil,BR,5407,18,18,23897000,6000,95600,71700,1100000,,2011,Apr,8,4,4/8/2011
364,corrupted,Kurzgesagt ������,20800000,2378448129,Education,193,Germany,DE,3914,2,21,29269000,7300,117100,87800,1400000,100000,2013,Jul,9,7,7/9/2013
365,ok,Yoeslan,20700000,17963202261,Entertainment,619,United States,US,146,101,96,874796000,218700,3500000,2600000,42000000,1000000,2020,Sep,26,9,9/26/2020
366,ok,5-Minute Crafts DIY,20700000,5091618606,Howto & Style,5062,United States,US,1334,103,11,20012000,5000,80000,60000,960600,,2018,Jan,18,1,1/18/2018
367,ok,Zach King,20700000,5410164682,Entertainment,6,,,3997461,,4664,125,0.03,0.5,0.38,6,10,2013,Jun,5,6,6/5/2013
368,ok,tuzelity SHUFFLE,20700000,8658941531,People & Blogs,889,Russia,RU,570,3,18,552266000,138100,2200000,1700000,26500000,1600000,2015,Oct,26,10,10/26/2015
369,ok,NBA,20700000,12624879732,Sports,47926,United States,US,304,103,4,73025000,18300,292100,219100,3500000,,2005,Nov,21,11,11/21/2005
370,ok,Deddy Corbuzier,20600000,4956090094,Entertainment,15,Indonesia,ID,3539124,4044,6217,85,0.02,0.34,0.26,4,1,2007,Jul,23,7,7/23/2007
371,ok,Bizarrap,20600000,7657171980,Comedy,83,Argentina,AR,711,8,98,193176000,48300,772700,579500,9300000,200000,2017,Jan,15,1,1/15/2017
372,ok,Avicii,20600000,10292874715,Music,156,Sweden,SE,421,1,92,81236000,20300,324900,243700,3900000,,2009,Oct,28,10,10/28/2009
373,ok,Mnet K-POP,20500000,15038593883,Entertainment,33229,South Korea,KR,220,7,99,158540000,39600,634200,475600,7600000,100000,2006,Mar,9,3,3/9/2006
374,ok,LazarBeam,20500000,8768697257,Gaming,1323,Australia,AU,565,3,25,26082000,6500,104300,78200,1300000,,2015,Jan,4,1,1/4/2015
375,ok,Ninja Kidz TV,20500000,11009148579,Entertainment,296,United States,US,377,104,99,195203000,48800,780800,585600,9400000,100000,2017,Feb,9,2,2/9/2017
376,corrupted,Totoy kids - Portugu�,20400000,1796227417,Film & Animation,206,Brazil,BR,5673,19,24,39495000,9900,158000,118500,1900000,100000,2014,Dec,2,12,12/2/2014
377,ok,Jake Paul,20400000,7311322368,People & Blogs,1006,United States,US,778,105,19,14646000,3700,58600,43900,703000,100000,2013,Sep,19,9,9/19/2013
378,ok,Linkin Park,20400000,13397000296,Music,0,Afghanistan,AF,4057944,1385,7136,,0,0,0,0,12,2006,Nov,28,11,11/28/2006
379,ok,Vijay Television,20400000,29406206620,Entertainment,51515,India,IN,43,70,100,907534000,226900,3600000,2700000,43600000,400000,2007,Feb,1,2,2/1/2007
380,ok,SlivkiShow,20400000,4707412332,Entertainment,462,Ukraine,UA,1489,1,100,28990000,7200,116000,87000,1400000,,2012,Dec,11,12,12/11/2012
381,ok,Emiway Bantai,20400000,3579555124,Music,239,India,IN,2236,70,94,41289000,10300,165200,123900,2000000,100000,2013,May,3,5,5/3/2013
382,ok,Got Talent Global,20300000,2441288701,Entertainment,1245,United Kingdom,GB,3750,15,101,86457000,21600,345800,259400,4100000,100000,2013,Jan,31,1,1/31/2013
383,corrupted,��������������� - Genevieve's Playhouse,20300000,11022391339,Education,107,,,380,,22,71777000,17900,287100,215300,3400000,200000,2018,Jul,22,7,7/22/2018
384,ok,BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552,Education,875,Indonesia,ID,332,10,22,112768000,28200,451100,338300,5400000,100000,2019,Jan,14,1,1/14/2019
385,ok,Ami Rodriguez,20200000,2951914200,Entertainment,460,Colombia,CO,2959,7,103,263864000,66000,1100000,791600,12700000,1600000,2009,Jul,20,7,7/20/2009
386,ok,Noor Stars,20200000,2764127969,Comedy,693,United Arab Emirates,AE,3238,5,102,15556000,3900,62200,46700,746700,100000,2014,Apr,24,4,4/24/2014
387,ok,Family GamesTV,20200000,7066711323,Entertainment,0,,,4057944,,7492,,0,0,0,0,,2012,Dec,29,12,12/29/2012
388,ok,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246,Education,226,India,IN,780,71,23,113420000,28400,453700,340300,5400000,300000,2017,May,25,5,5/25/2017
389,ok,dednahype,20200000,20919403720,Comedy,1935,Latvia,LV,108,1,19,1245000000,311200,5000000,3700000,59800000,1200000,2020,Mar,20,3,3/20/2020
390,ok,Marta and Rustam,20200000,19694265358,Comedy,761,United States,US,126,106,20,452250000,113100,1800000,1400000,21700000,600000,2021,Jun,21,6,6/21/2021
391,ok,MiawAug,20200000,6098644584,Gaming,3713,Indonesia,ID,1023,11,27,64489000,16100,258000,193500,3100000,200000,2014,Mar,15,3,3/15/2014
392,ok,CookieSwirlC,20100000,23353115850,Entertainment,3774,United States,US,86,108,28,221702000,55400,886800,665100,10600000,200000,2013,Nov,3,11,11/3/2013
393,ok,Skrillex,20100000,6618524158,Music,241,United States,US,905,108,95,25263000,6300,101100,75800,1200000,,2010,Apr,6,4,4/6/2010
394,ok,AuthenticGames,20100000,8920141342,Gaming,4974,Brazil,BR,549,20,28,5420000,1400,21700,16300,260200,,2011,Oct,7,10,10/7/2011
395,ok,Robin Hood Gamer,20100000,10366850490,Entertainment,0,,,4057944,,7471,,0,0,0,0,,2013,Mar,16,3,3/16/2013
396,ok,Pencilmation,20100000,11317309935,Film & Animation,1481,United States,US,366,109,104,14862000,3700,59400,44600,713400,100000,2007,Feb,1,2,2/1/2007
397,ok,7clouds,20100000,14816075927,Music,2384,United States,US,227,108,95,276751000,69200,1100000,830300,13300000,300000,2013,May,25,5,5/25/2013
398,ok,5-Minute Crafts PLAY,20100000,6119294270,Howto & Style,5491,United States,US,1014,108,12,105784000,26400,423100,317400,5100000,100000,2017,Oct,30,10,10/30/2017
399,ok,Marvel Entertainment,20100000,5634695322,Entertainment,1,United States,US,4054962,6143,4024,63,0.02,0.25,0.19,3,30,2011,May,10,5,5/10/2011
400,ok,BuzzFeedVideo,20100000,17913237851,People & Blogs,7737,United States,US,150,108,20,9112000,2300,36400,27300,437400,,2011,Aug,10,8,8/10/2011
401,ok,REACT,20000000,13154314376,Entertainment,4339,United States,US,281,109,104,23206000,5800,92800,69600,1100000,,2007,Jun,4,6,6/4/2007
402,ok,Vevo,20000000,559765455,Music,1527,United States,US,22747,109,96,1331000,333,5300,4000,63900,,2006,Apr,14,4,4/14/2006
403,ok,Gordon Ramsay,20000000,3875172235,Entertainment,1527,United Kingdom,GB,2001,16,104,39228000,9800,156900,117700,1900000,200000,2006,Apr,29,4,4/29/2006
404,ok,Pentatonix,20000000,6033295543,Music,1,Canada,CA,4051673,4072,6742,,0,0,0,0,,2006,Mar,9,3,3/9/2006
405,ok,Green Gold TV - Official Channel,20000000,9715291883,Film & Animation,1476,India,IN,473,72,104,70278000,0,0,0,0,100000,2011,Jul,1,7,7/1/2011
406,ok,Gusttavo Lima Oficial,19900000,13917423958,Music,416,Brazil,BR,258,21,97,214803000,53700,859200,644400,10300000,100000,2010,Nov,9,11,11/9/2010
407,ok,HaerteTest,19800000,3234880084,Science & Technology,1411,Germany,DE,2583,3,6,5650000,1400,22600,17000,271200,,2011,Sep,6,9,9/6/2011
408,ok,Crafty Panda,19800000,5759442450,People & Blogs,760,United States,US,1120,111,105,6137000,1500,24500,18400,294600,100000,2017,Dec,3,12,12/3/2017
409,ok,SOMOY TV,19800000,12293479945,News & Politics,9930,United States,US,1291541,2251,1555,16229,4,65,49,779,,2013,Nov,16,11,11/16/2013
410,ok,JennaMarbles,19700000,1803249241,Comedy,250,United States,US,5665,112,21,3769000,942,15100,11300,180900,,2010,Feb,16,2,2/16/2010
411,ok,Troom Troom Es,19700000,7452667615,People & Blogs,2912,,,747,,13,29387000,7300,117500,88200,1400000,100000,2016,Feb,5,2,2/5/2016
412,ok,Official Pink Panther,19700000,10955619815,Film & Animation,1,United States,US,4052414,7741,7494,,0,0,0,0,,2011,Oct,6,10,10/6/2011
413,ok,Britain's Got Talent,19700000,11323617496,Entertainment,4225,United Kingdom,GB,364,17,106,54192000,13500,216800,162600,2600000,100000,2008,Apr,12,4,4/12/2008
414,ok,SCTV,19700000,9808676159,Entertainment,267,United Kingdom,GB,2831648,3695,4668,336,0.08,1,1,16,,2006,Mar,25,3,3/25/2006
415,ok,AS Gaming,19600000,2851024430,Gaming,17,United States,US,3857915,7711,7464,23,0.01,0.09,0.07,1,,2009,Mar,5,3,3/5/2009
416,ok,Sony AATH,19600000,13930021471,Shows,18661,United States,US,257,112,106,274212000,68600,1100000,822600,13200000,300000,2013,Nov,13,11,11/13/2013
417,ok,tabii Urdu,19600000,8779729549,Entertainment,1306,Turkey,TR,562,3,107,110806000,27700,443200,332400,5300000,100000,2020,Apr,17,4,4/17/2020
418,ok,DaFuq!?Boom!,19600000,7906181776,Film & Animation,214,United States,US,656,112,106,2304000000,576000,9200000,6900000,110600000,6700000,2016,Jun,6,6,6/6/2016
419,ok,Clash of Clans,19600000,3961318438,Gaming,674,United States,US,1934,113,30,22292000,5600,89200,66900,1100000,,2013,Jan,31,1,1/31/2013
420,ok,RKD Studios,19500000,5234251168,Entertainment,847,India,IN,1265,74,108,59841000,0,0,0,0,300000,2014,Mar,14,3,3/14/2014
421,ok,DLS News,19400000,2255542592,News & Politics,4750,India,IN,4178,74,8,32111000,8000,128400,96300,1500000,100000,2017,Jul,5,7,7/5/2017
422,ok,JukiLop,19400000,1577859332,People & Blogs,85,Mexico,MX,6674,14,22,2382000,595,9500,7100,114300,100000,2017,Sep,15,9,9/15/2017
423,ok,etvteluguindia,19400000,23038014291,Entertainment,125974,India,IN,88,75,109,272917000,68200,1100000,818800,13100000,200000,2010,Mar,15,3,3/15/2010
424,ok,FIFA,19400000,5529131886,Sports,10728,Switzerland,CH,1186,1,5,58863000,14700,235500,176600,2800000,100000,2006,Sep,6,9,9/6/2006
425,ok,Manoj  parihar,19300000,264228052,,335,India,IN,48846,75,14,37167000,9300,148700,111500,1800000,300000,2021,Mar,2,3,3/2/2021
426,ok,Vsauce,19300000,2897907132,Science & Technology,462,,,3024,,110,69614000,17400,278500,208800,3300000,100000,2007,Jul,30,7,7/30/2007
427,ok,Unbox Therapy,19300000,4508184467,Science & Technology,2175,,,1596,,7,16718000,4200,66900,50200,802500,1100000,2010,Dec,21,12,12/21/2010
428,ok,shane,19200000,4329121104,People & Blogs,570,United States,US,1705,114,22,2730000,683,10900,8200,131100,,2005,Sep,22,9,9/22/2005
429,ok,Sonotek,19200000,7590582024,Entertainment,8285,India,IN,724,77,98,28678000,7200,114700,86000,1400000,100000,2011,Jan,11,1,1/11/2011
430,ok,Jimmy Kimmel Live,19100000,13124645973,Entertainment,6526,United States,US,283,115,23,17243000,4300,69000,51700,827600,,2006,Sep,20,9,9/20/2006
431,ok,TheOdd1sOut,19100000,4566120190,Comedy,139,United States,US,1568,115,23,30986000,7700,123900,93000,1500000,,2014,Aug,30,8,8/30/2014
432,ok,Goldmines Great Indian Comedy,19100000,5194942269,Film & Animation,2948,,,1279,,26,65920000,16500,263700,197800,3200000,200000,2016,Aug,29,8,8/29/2016
433,ok,Lil Nas X,19100000,6339584661,Music,37,,,966,,99,46192000,11500,184800,138600,2200000,,2018,May,19,5,5/19/2018
434,corrupted,�������������� ����,19000000,4924054368,Education,60,United States,US,1399,116,111,21587000,5400,86300,64800,1000000,100000,2018,Feb,20,2,2/20/2018
435,ok,SUPER SLICK SLIME SAM,19000000,7229175322,Howto & Style,903,Mexico,MX,786,15,111,123338000,30800,493400,370000,5900000,200000,2018,Jan,23,1,1/23/2018
436,ok,Wow Kidz Action,19000000,8281724393,Film & Animation,1525,India,IN,618,78,111,105706000,26400,422800,317100,5100000,200000,2017,Nov,8,11,11/8/2017
437,corrupted,Turma da M��,19000000,13824277846,Film & Animation,1154,Brazil,BR,260,22,27,76903000,19200,307600,230700,3700000,100000,2012,Jul,30,7,7/30/2012
438,ok,Calvin Harris,19000000,16014044618,Music,79,United Kingdom,GB,191,18,99,102410000,25600,409600,307200,4900000,100000,2007,Feb,11,2,2/11/2007
439,ok,KBS WORLD TV,19000000,15126092508,Entertainment,64496,South Korea,KR,217,8,111,107989000,27000,432000,324000,5200000,,2007,Jan,6,1,1/6/2007
440,ok,HiMan,18900000,2855519150,People & Blogs,375,Russia,RU,3094,4,112,24563000,6100,98300,73700,1200000,,2014,Oct,16,10,10/16/2014
441,ok,Masha e o Urso,18900000,8301731337,Shows,0,,,4057944,,,,0,0,0,0,2,2014,Feb,20,2,2/20/2014
442,corrupted,Little Angel Espa���������,18900000,9813245108,Education,719,Mexico,MX,459,16,24,140398000,35100,561600,421200,6700000,,2018,Jan,26,1,1/26/2018
443,ok,TED-Ed,18800000,3654621568,Education,2072,United States,US,2163,117,25,29874000,7500,119500,89600,1400000,100000,2011,Mar,1,3,3/1/2011
444,ok,Sidemen,18800000,5257834105,Entertainment,312,United Kingdom,GB,1263,19,113,78158000,19500,312600,234500,3800000,100000,2015,Jun,14,6,6/14/2015
445,ok,Cardi B,18800000,7634430188,People & Blogs,9,,,4054469,,,7,0,0.03,0.02,0.34,,2017,Aug,15,8,8/15/2017
446,ok,Busy Fun Ltd,18800000,7762077012,,2,,,4057882,,,,0,0,0,0,,2021,Dec,21,12,12/21/2021
447,ok,Farruko,18800000,9573641299,Music,217,United States,US,485,117,100,97758000,24400,391000,293300,4700000,100000,2009,Oct,30,10,10/30/2009
448,corrupted,����������������������,18800000,9594188708,Entertainment,530,Ukraine,UA,483,2,113,68006000,17000,272000,204000,3300000,100000,2014,Oct,20,10,10/20/2014
449,ok,Triggered Insaan,18800000,3276891538,Comedy,304,India,IN,2508,79,24,109026000,27300,436100,327100,5200000,700000,2014,Jul,17,7,7/17/2014
450,ok,CKN,18700000,12295637162,Entertainment,16,Spain,ES,3188353,4093,5631,102,0.03,0.41,0.31,5,1,2005,Sep,26,9,9/26/2005
451,ok,Ali-A,18700000,6148303268,Gaming,2,,,4053443,,7729,1,0,0,0,0.05,,2016,Jul,7,7,7/7/2016
452,ok,Shemaroo Comedy,18600000,6047584292,Entertainment,4487,India,IN,1033,81,24,102431000,25600,409700,307300,4900000,200000,2007,Jan,31,1,1/31/2007
453,ok,Smile Family Spanish,18600000,7008250496,,457,United States,US,830,118,115,43396000,10800,173600,130200,2100000,200000,2019,Jun,19,6,6/19/2019
454,ok,GRAMMY GOLD OFFICIAL,18600000,20196704276,Music,6287,Thailand,TH,121,5,101,168597000,42100,674400,505800,8100000,100000,2014,Jan,15,1,1/15/2014
455,corrupted,�������� ���������� ���������� | Arab Games Network,18600000,8761255550,Gaming,6289,Saudi Arabia,SA,566,3,31,43007000,10800,172000,129000,2100000,500000,2013,Nov,29,11,11/29/2013
456,ok,Dan-Sa / Daniel Saboya,18500000,2908120896,Music,1329,Brazil,BR,45213,24,102,6148000000,0,0,0,0,100000,2007,Sep,22,9,9/22/2007
457,ok,Marmok,18500000,3457618361,Gaming,374,Russia,RU,2356,5,32,38282000,9600,153100,114800,1800000,100000,2008,Apr,27,4,4/27/2008
458,ok,The ACE Family,18500000,4558380251,People & Blogs,712,,,1572,,25,2835000,709,11300,8500,136100,,2016,Jan,10,1,1/10/2016
459,ok,Like Nastya Vlog,18500000,8147575884,People & Blogs,493,Russia,RU,630,5,25,48947000,12200,195800,146800,2300000,100000,2016,Jan,14,1,1/14/2016
460,ok,Willie Salim,18500000,4051072188,People & Blogs,679,Indonesia,ID,1868,13,25,197369000,49300,789500,592100,9500000,1600000,2014,Jan,6,1,1/6/2014
461,ok,PDK Films,18400000,4120324310,Entertainment,111,United States,US,1825,120,116,14430000,3600,57700,43300,692600,,2009,Jul,21,7,7/21/2009
462,ok,TheWillyrex,18400000,7038827526,Comedy,6943,Spain,ES,825,7,33,11004000,2800,44000,33000,528200,,2011,Jan,26,1,1/26/2011
463,corrupted,RsiamMusic : ��������,18400000,11544297793,Music,3159,Thailand,TH,346,6,103,54133000,13500,216500,162400,2600000,100000,2011,Mar,8,3,3/8/2011
464,ok,Dhar Mann,18400000,11280732382,People & Blogs,0,,,4057944,,,,0,0,0,0,2,2007,Apr,25,4,4/25/2007
465,ok,shakiraVEVO,18400000,25367126292,Music,197,United States,US,72,120,103,267126000,66800,1100000,801400,12800000,,2009,Sep,2,9,9/2/2009
466,ok,Naisa Alifia Yuriza (N.A.Y),18300000,1606834186,People & Blogs,786,Indonesia,ID,6502,14,117,17063000,4300,68300,51200,819000,,2017,Jul,8,7,7/8/2017
467,ok,Miley Cyrus,18300000,7760819588,Entertainment,142,United States,US,696,121,117,127982000,32000,511900,383900,6100000,100000,2009,Sep,15,9,9/15/2009
468,ok,IShowSpeed,18300000,1556003039,Gaming,1324,United States,US,6734,120,33,140261000,35100,561000,420800,6700000,800000,2016,Mar,21,3,3/21/2016
469,ok,Good Mythical Morning,18300000,8798044678,Entertainment,0,,,3612215,3305,,,0,0,0,0,,,,,#N/A,#N/A
470,ok,Bobby chourasiya,18200000,9937823152,People & Blogs,442,,,452,,27,467848000,117000,1900000,1400000,22500000,1000000,2019,Jan,25,1,1/25/2019
471,corrupted,INCR��,18200000,3213324455,People & Blogs,6903,Brazil,BR,2610,25,15,18045000,4500,72200,54100,866200,,2017,Jun,20,6,6/20/2017
472,ok,Jake Fellman,18100000,13378360425,Entertainment,420,United States,US,274,122,118,497044000,124300,2000000,1500000,23900000,700000,2012,Oct,13,10,10/13/2012
473,ok,GEN HALILINTAR,18100000,3306242674,Entertainment,1037,Indonesia,ID,2498,15,119,27312000,6800,109200,81900,1300000,,2015,Mar,4,3,3/4/2015
474,ok,SQUEEZIE,18100000,9983065083,Gaming,1521,France,FR,443,1,119,48099000,12000,192400,144300,2300000,100000,2011,Jan,9,1,1/9/2011
475,ok,Blippi - Educational Videos for Kids,18100000,14857290259,Education,707,United States,US,224,123,26,180412000,45100,721600,541200,8700000,300000,2014,Jan,27,1,1/27/2014
476,ok,officialpsy,18100000,10703830496,Music,131,South Korea,KR,393,10,104,64989000,16200,260000,195000,3100000,,2010,Oct,4,10,10/4/2010
477,ok,Ajay Sharma,18100000,12249828886,Entertainment,0,,,4057944,,,,0,0,0,0,1,2009,Oct,24,10,10/24/2009
478,ok,Manual do Mundo,18000000,3980991248,Howto & Style,2470,Brazil,BR,1922,26,8,54766000,13700,219100,164300,2600000,100000,2006,Jul,24,7,7/24/2006
479,ok,How Ridiculous,18000000,9601137077,Sports,650,Australia,AU,478,5,6,391298000,97800,1600000,1200000,18800000,600000,2009,Sep,9,9,9/9/2009
480,ok,And TV,18000000,15412333005,Entertainment,45,United States,US,4012108,7627,6667,4,0,0.02,0.01,0.19,,2006,Aug,4,8,8/4/2006
481,corrupted,Sebasti���,18000000,10463166404,News & Politics,237,United States,US,406,124,105,110776000,27700,443100,332300,5300000,,2013,Mar,30,3,3/30/2013
482,ok,SonyMusicSouthVEVO,18000000,17921124985,Music,5692,United States,US,148,123,104,257597000,64400,1000000,772800,12400000,100000,2014,Jul,14,7,7/14/2014
483,ok,TheGrefg,18000000,6404852037,Gaming,3566,Spain,ES,950,8,34,43830000,11000,175300,131500,2100000,,2012,Jan,30,1,1/30/2012
484,ok,BeatboxJCOP,18000000,8716982055,Film & Animation,748,,,539,,115,1375000000,343800,5500000,4100000,66000000,3400000,2011,Mar,12,3,3/12/2011
485,ok,David Dobrik,17900000,7176572299,People & Blogs,536,United States,US,801,125,28,8650000,2200,34600,26000,415200,100000,2014,Dec,19,12,12/19/2014
486,ok,KatieAngel,17900000,3841205465,People & Blogs,982,United States,US,2014,125,106,51687000,12900,206700,155100,2500000,100000,2015,May,19,5,5/19/2015
487,ok,RobleisIUTU,17900000,5168721499,Entertainment,1344,Argentina,AR,1294,9,35,27545000,6900,110200,82600,1300000,100000,2013,Apr,15,4,4/15/2013
488,ok,Lele Pons,17900000,5244917119,Comedy,185,United States,US,1264,125,121,18548000,4600,74200,55600,890300,,2015,Sep,19,9,9/19/2015
489,ok,Demi Lovato,17900000,6888074944,Music,314,United States,US,858,125,106,29182000,7300,116700,87500,1400000,,2008,Jan,30,1,1/30/2008
490,ok,Like Nastya VNM,17900000,9867515979,Entertainment,602,Vietnam,VN,455,1,121,84467000,21100,337900,253400,4100000,100000,2019,Nov,22,11,11/22/2019
491,ok,Jason Derulo,17900000,9887116267,Music,830,United States,US,446,124,105,447891000,112000,1800000,1300000,21500000,400000,2008,Jul,21,7,7/21/2008
492,ok,MGC Playhouse,17900000,16174530046,Shows,1426,United States,US,187,125,27,102621000,25700,410500,307900,4900000,100000,2009,Feb,3,2,2/3/2009
493,ok,Zuni and Family,17900000,6746269458,People & Blogs,2,,,4057766,,7733,4,0,0.02,0.01,0.19,,2020,Jul,15,7,7/15/2020
494,ok,Priyal Kukreja,17800000,11057945183,People & Blogs,772,India,IN,378,83,29,431390000,107800,1700000,1300000,20700000,900000,2021,Apr,23,4,4/23/2021
495,ok,MSA previously My Story Animated,17800000,8588704539,Film & Animation,26,United States,US,3976090,5208,4978,20708,5,83,62,994,2960,2021,Nov,9,11,11/9/2021
496,corrupted,��������� KIMPRO,17700000,19206701832,,1646,South Korea,KR,125,9,26,3404000000,850900,13600000,10200000,163400000,3200000,2017,Nov,11,11,11/11/2017
497,corrupted,Jane ASMR ��,17700000,7387621644,,1888,South Korea,KR,762,11,30,102803000,0,0,0,0,,2012,Nov,17,11,11/17/2012
498,ok,ArianaGrandeVevo,17700000,20115544708,Music,178,United States,US,122,127,108,97422000,24400,389700,292300,4700000,,2010,Oct,21,10,10/21/2010
499,ok,jaanvi patel,17700000,7912733203,People & Blogs,512,India,IN,671,84,30,346753000,86700,1400000,1000000,16600000,900000,2018,Jul,18,7,7/18/2018
500,ok,tanboy kun,17700000,3647267655,People & Blogs,739,Indonesia,ID,2169,17,122,48174000,12000,192700,144500,2300000,100000,2016,Oct,27,10,10/27/2016
501,ok,Lil Pump,17700000,4196061192,Music,60,,,1785,,108,9243000,0,0,0,0,,2015,Oct,15,10,10/15/2015
502,ok,Porta dos Fundos,17700000,7739048000,Entertainment,2240,Brazil,BR,705,27,123,35337000,8800,141300,106000,1700000,,2012,Mar,12,3,3/12/2012
503,ok,News 24,17700000,8396875537,News & Politics,211620,Ukraine,UA,880,24,112,370779000,92700,1500000,1100000,17800000,230000,2006,Feb,5,2,2/5/2006
504,ok,Les' Copaque Production,17700000,9059696049,Film & Animation,1716,Malaysia,MY,531,1,123,117727000,29400,470900,353200,5700000,200000,2009,Nov,9,11,11/9/2009
505,ok,El Payaso Plim Plim,17700000,17247584185,Film & Animation,1316,Argentina,AR,162,10,107,640030000,160000,2600000,1900000,30700000,600000,2013,Oct,18,10,10/18/2013
506,ok,zbing z.,17600000,9269174070,Gaming,3151,Thailand,TH,511,7,36,55127000,13800,220500,165400,2600000,,2014,Mar,12,3,3/12/2014
507,ok,MissaSinfonia,17600000,2274007523,Comedy,233,Mexico,MX,4139,17,25,27445000,6900,109800,82300,1300000,100000,2011,Jan,5,1,1/5/2011
508,corrupted,��������� Liziqi,17600000,2977741577,Howto & Style,128,China,CN,2917,1,16,22354000,5600,89400,67100,1100000,100000,2017,Aug,22,8,8/22/2017
